Ini_name,Ini_contact
北京市众安公益基金会,11194343783
中国红十字基金会,13954762097
中国扶贫基金会,12917313261
爱德基金会,15062333105
上海仁德基金会,18220793059
天津市妇女儿童发展基金会,17125631702
上海市华侨事业发展基金会,13182204147
北京市红十字基金会,16426874078
中国社会福利基金会,19808740050
上海联劝公益基金会,17072438115
四川省红十字基金会,12932603203
成都市慈善总会,12182384641
深圳壹基金公益基金会,14321440441
中华社会救助基金会,17652367071
中华少年儿童慈善救助基金会,17679362607
重庆市慈善总会,14301837122
湖南省朝阳公益基金会,12626362653
山东省扶贫开发基金会,16113054382
浙江省残疾人福利基金会,14946382718
无锡灵山慈善基金会,14331316700
泰安市泰山慈善基金会,11755938432
安徽仁爱公益基金会,15037879526
重庆儿童救助基金会,17921199474
湖南省红十字会,19012332314
中国妇女发展基金会,18758492966
四川省残疾人福利基金会,14730792043
浙江省妇女儿童基金会,14851709987
广西红十字基金会,19667418301
天津市社会救助基金会,16938410846
南昌市青少年发展基金会,14406316917
沈阳市慈善总会,12791000052
上海市拥军优属基金会,17574585405
浙江省阳光教育基金会,16410292823
深圳市老龄事业发展基金会,13129731617
河南省慈善总会,14744913566
中国志愿服务基金会,13792409305
中国听力医学发展基金会,18794356815
成都市残疾人福利基金会,11761034087
浙江省微笑明天慈善基金会,19227091408
苏州市儿童少年基金会,13931317393
滨州市慈善总会,15014255896
宁波市善园公益基金会,15325840075
福建省青少年发展基金会,18262939102
南京市慈善总会,13381408667
中国儿童少年基金会,15836722983
武陟县慈善协会,19061084787
浙江安福利生慈善基金会,17920242539
中华思源工程扶贫基金会,13817191852
陕西省慈善协会,17757787995
重庆市残疾人福利基金会,16648069395
深圳市慈善会,18707866522
中国绿化基金会,13920568398
山东省中投慈善公益基金会,11835107064
深圳市社会公益基金会,13327250348
天津市红十字会,15129515985
大连市慈善总会,16186734193
陇南光明公益联合会,19816073082
深圳市志愿服务基金会,13312879911
深圳市广电公益基金会,13833173198
西安市上善公益慈善基金会,17582535536
西安市善行公益慈善基金会,15983176190
湖南省佛慈基金会,15353840655
广州市慈善会,18022079301
云南省红十字会,16209426557
上海市慈善基金会,13353805263
中国光华科技基金会,11012812467
江西省红十字基金会,16351044185
长沙市慈善基金会,18471286223
米脂县慈善协会,13150723011
河南省妇女儿童发展基金会,16827308986
江苏省慈善总会,16682603719
中国人口福利基金会,19261028505
西安市小蜜蜂公益慈善基金会,12915628830
北京微爱公益基金会,18189836510
天津市心羽公益基金会,19052892419
赣州市红十字博爱基金会,11954564884
中国老龄事业发展基金会,18035697631
河南省学生安全救助基金会,12622330670
浙江省和平慈善基金会,12444608736
河北省新联合公益基金会,19482322715
河南省助残济困总会,18968846813
河南省公益文化传播基金会,19444599964
中国金融教育发展基金会,16458630254
西安市扶弱助困公益慈善基金会,14921525825
四川省贫困地区人才培育研究基金会,18921152974
大连市青少年发展基金会,13422575135
江苏省发展体育基金会,16055938130
江西青原弘济慈善基金会,12333758114
重庆浙商爱心基金会,16995939588
河南省爱心助老基金会,17139042665
郑州慈善总会,15136132424
北海民间志愿者协会,16797976040
福建省商盟公益基金会,13481177959
pengpai测试公募机构,19832380074
徐州市慈善总会,17721337734
海南省医疗救助基金会,14089019760
安徽省红十字基金会,16361360878
河北省残疾人福利基金会,14313173828
海南墨子慈善基金会,14770406473
北京天使妈妈慈善基金会,17086325849
北京新阳光慈善基金会,16771218358
北京市企业家环保基金会,16101310145
济宁市慈善总会,14693824746
福建省助困公益协会,16567355966
新疆红石慈善基金会,12941464908
河北慈善联合基金会,19238672158
北京春苗慈善基金会,16547708748
新疆维吾尔自治区青少年发展基金会,13057398943
郑州市二七区慈善总会,13831057555
中国西部人才开发基金会,13578335217
天津市青少年发展基金会,12436010314
遵义市慈善总会,18553262675
重庆市红十字基金会,14884925659
湖北省青少年发展基金会,19756894457
湖北省红十字基金会,16421549925
宁波市慈善总会,13561576074
浙江省爱心事业基金会,14430055179
南阳市慈善总会,18231726065
腾讯公益慈善基金会（内部测试）,19404591247
海南世界联合公益基金会,17810170493
深圳市龙华区慈善会,12640057457
宝鸡市公益慈善联合会,17781086462
中华慈善总会,11650235091
海南成美慈善基金会,18261521038
中国职工发展基金会,17060797913
沈阳市华易伤害预防公益基金会,13871691997
广州市青少年发展基金会,17483742777
新疆维吾尔自治区资助教育基金会,17554569587
湖北省慈善总会,17519359450
湖南省教育基金会,12853698343
海南省残疾人基金会,12464277050
广东省青少年发展基金会,18507868067
西安市助老爱幼公益慈善基金会,18169968583
厦门残疾人福利基金会,15148724669
成都市锦江区社会组织发展基金会,15516272364
烟台市红十字会机关,15892462206
深圳市华侨公益基金会,13105516135
深圳市龙越慈善基金会,17319500869
西双版纳州热带雨林保护基金会,16530200227
重庆市华岩文教基金会,13459192638
中国青少年发展基金会,18528798508
赤峰市红十字会,11143160583
昆明市青少年发展基金会,16326146200
中国牙病防治基金会,16875981858
北京扶老助残基金会,18189576374
福建省红十字会,13931849548
广东省博华残疾人扶助基金会,17441568902
遂宁市关心下一代基金会,14901677421
广东省麦田教育基金会,16546396759
中国煤矿尘肺病防治基金会,19798698907
广东公益恤孤助学促进会,11992460451
科左后旗慈善总会,12970450941
深圳市青少年发展基金会,18598251989
中关村精准医学基金会 ,19949105639
北京京华公益事业基金会,17480447372
福建省高心灵传统文化发展基金会,16990935964
深圳市关爱行动公益基金会,19399562057
北京市红十字会,12580500077
郑州市法律援助基金会,14129162057
内蒙古公益事业发展基金会,19498101467
中国残疾人福利基金会,17972675234
中国华侨公益基金会,14755068899
深圳市妇女儿童发展基金会,11822879789
龙岩市慈善总会,17526461808
四川省慈善总会,14947466225
厦门南普陀寺慈善会,16508156902
中国民族文化艺术基金会,11062380785
嘉兴市红十字会,14886846416
江西省青少年发展基金会,12998977194
湖南省温暖工程基金会,18772107957
广州市残疾人福利基金会,11793132551
金华市小脚丫公益基金会,18777252797
山西省文化发展基金会,18366741813
南充市嘉陵区慈善总会,19164778310
辽宁省慈善总会,12137255580
甘孜藏族自治州关心下一代基金会,13430451048
浙江千训爱心慈善基金会,14084865649
郴州市慈善总会,18628703198
北京感恩公益基金会,16553240846
成都市关心下一代基金会,15358451314
宁夏青少年发展基金会,15795728721
非众筹专用机构,13552593575
深圳市见义勇为基金会,18462775882
甘肃省扶贫基金会,17171395606
河南省红十字基金会,16084429916
北京市慈善协会,16958355875
上海真爱梦想公益基金会,13258998430
中国生物多样性保护与绿色发展基金会,17651095809
江苏省妇女儿童福利基金会,15403306404
厦门市红十字会,12970020784
北京联益慈善基金会,19746954271
浙江省慈善联合总会,16679888723
青海省关心下一代基金会,12675436900
唐山天享老年公寓,12527370313
中国少年儿童文化艺术基金会,12348383386
新疆慈善总会,18373409188
瑞安市慈善总会,17127832845
上海市青少年发展基金会,18936638270
温州市鹿城区慈善总会,14738847802
北京市海淀教育基金会,19141092220
重庆市青少年发展基金会,12395849470
陕西青少年发展基金会,11373188280
江苏省老龄事业发展基金会,13554588699
中国下一代教育基金会,17856832753
德阳市关心下一代基金会,18850829502
云南省青少年发展基金会,19189279501
深圳市红树林湿地保护基金会,12767113960
云南省绿色环境发展基金会,15932171788
德阳市慈善会,11103299769
济南市残疾人福利基金会,16388042101
温州市慈善总会,17189481083
深圳市美丽深圳公益基金会,19173449920
浙江省青少年发展基金会,17115021929
广州市华侨文化发展基金会,14032542415
南京大报恩文化发展基金会,11871288063
重庆市开州区慈善会,11866416190
湖南省慈善总会,17316513580
浙江省青少年英才奖励基金会,15448655637
